Event ID	Date-Time	Type	Instrument(s)	Location info (Event or Sub-spacecraft)	Lat.	Long.	References
114	2015-06-08T01:22:25.0	Outburst	ALICE	S	-10.4	11.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
115	2015-06-17T19:42:02.0	Outburst	ALICE	S	56.1	92.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
116	2015-10-06T00:46:29.0	Outburst	ALICE	S	-41	150.4	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
117	2015-10-06T02:29:17.0	Outburst	ALICE	S	-40.6	99.9	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
118	2015-11-07T17:32:15.0	Outburst	ALICE	S	-1.5	302.9	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
119	2015-11-27T06:11:02.0	Outburst	ALICE	S	-5.1	9.1	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
120	2015-12-17T19:15:11.0	Outburst	ALICE	S	-15.8	81.4	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
121	2016-01-01T06:00:18.0	Outburst	ALICE	S	-51.7	32.9	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
122	2016-01-02T07:33:02.0	Outburst	ALICE	S	-67.1	13.3	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
123	2016-01-02T12:59:09.0	Outburst	ALICE	S	-69.2	217	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
124	2016-01-02T19:07:30.0	Outburst	ALICE	S	-71.6	42.5	Feldman et al., The Nature and frequency of the gas outburst in comet 67P/Churyumov-Gerasimenko observed by the Alice far-ultraviolet spectrograph on Rosetta, Astrophysical Jounral Letters, 825, 2016	 
 	 	 	 	 	 	 	 	 
 
